accession,bit_score,description,region_type,rfam_id,seq_end,seq_start,species
AF009606.1,434.2,Hepatitis C virus subtype 1a,2,RF00061,"Hepatitis C virus subtype 1a polyprotein gene, complete cds.",354,31646
M31182.1,362.3,Bovine viral diarrhea virus 1-NADL,1,RF00209,"Bovine viral diarrhea virus 1-NADL, complete genome.",385,11100
X00871.1,539.6,Foot-and-mouth disease virus (strain O1),252,RF00210,X00871.1 Foot and mouth disease virus (FMDV-O1K) RNA for polyprotein precursor,712,73482
AF308157.1,521.2,Foot-and-mouth disease virus O/swine/1997,595,RF00210,"Foot-and-mouth disease virus, complete genome.",1057,649897
AJ005695.1,195.4,Human parechovirus 2,232,RF00210,Human parechovirus 2 complete genome,698,39085
M81861.1,156.2,Encephalomyocarditis virus strain Rueckert,374,RF00210,"Encephalomyocarditis virus polyprotein, complete cds.",830,650129
KP233897.1,152.2,rabovirus A1,290,RF00210,"KP233897.1 Rabovirus A1 isolate Berlin/Jan2011/0572, complete genome",746,2773293
LSMT01000209.1,151.4,Stylophora pistillata,284514,RF00210,"LSMT01000209.1 Stylophora pistillata isolate CSM Monaco Spis.scaffold209, whole genome shotgun sequence",284971,50429
KJ158169.1,138.4,Rosavirus A2 isolate Human/Gambia/GA7403/2008,353,RF00210,"Rosavirus 2 strain GA7403, complete genome.",826,1554474
HM153767.3,132.7,Ovine hungarovirus OHUV1/2009/HUN,262,RF00210,"Ovine hungarovirus OHUV1/2009/HUN, complete genome.",711,1168173
KF958461.1,121.3,Mosavirus A2 isolate Coracias garrulus/Hungary/SZAL6-MoV/2011,204,RF00210,"Mosavirus A2 strain SZAL6-MoV/2011/HUN, complete genome.",652,1554481
FJ438902.1,118.3,Cosavirus A isolate Human/Pakistan/0553/-,601,RF00210,"Cosavirus A strain HCoSV-A1 polyprotein gene, complete cds.",1159,1554483
JQ814851.1,117.5,Miniopterus schreibersii picornavirus 1,947,RF00210,"Miniopterus schreibersii picornavirus 1, complete genome.",1406,1195365
KC614703.1,61.3,Avisivirus A isolate Turkey/USA/USA-IN1/2010,128,RF00210,"Turkey avisivirus isolate USA-IN1, complete genome.",589,1554484
U30944.1,159.3,Youcai mosaic virus,5444,RF00225,"Youcai mosaic virus replicase, movement protein, and coat protein mRNA, complete cds.",5597,228578
HQ667979.1,141.4,Ribgrass mosaic virus,5455,RF00225,"HQ667979.1 Ribgrass mosaic virus strain Kons.1105 isolate R14, complete genome",5605,51680
AB850647.1,268.6,Human herpesvirus 4 (Epstein-Barr virus),55151,RF00448,"AB850647.1 Human herpesvirus 4 DNA, complete genome, strain: HN12",55367,10376
AB850654.1,268.6,Human herpesvirus 4 (Epstein-Barr virus),55154,RF00448,"ENA|AB850654|AB850654.1 Human herpesvirus 4 DNA, complete genome, strain: HN15.",55370,10376
AJ507799.2,268.6,Human herpesvirus 4 (Epstein-Barr virus),55153,RF00448,Human herpesvirus 4 complete wild type genome,55369,10376
DQ279927.1,265.1,Human herpesvirus 4 (Epstein-Barr virus),55269,RF00448,"Human herpesvirus 4 strain AG876, complete genome.",55485,10376
KP676001.1,212.7,Lymphocryptovirus Macaca/pfe-lcl-E3,38948,RF00448,"Lymphocryptovirus Macaca/pfe-lcl-E3, complete genome.",39164,1716044
AJFE02004538.1,205.2,Pan paniscus (pygmy chimpanzee),8291,RF00448,"AJFE02004538.1 Pan paniscus isolate Ulindi cntg4739, whole genome shotgun sequence",8507,9597
KX884282.1,158.9,Wuhan arthropod virus 2,5938,RF00458,"Wuhan arthropod virus 2 strain WHSF0 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",6130,1923691
KX883972.1,128,Hubei picorna-like virus 16,5630,RF00458,"Hubei picorna-like virus 16 strain SCM51353 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",5823,1923095
KX883381.1,127.9,Beihai picorna-like virus 75,6466,RF00458,"Beihai picorna-like virus 75 strain BHJP52955 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",6659,1922622
KX884274.1,124.2,Wuhan insect virus 33,7022,RF00458,"Wuhan insect virus 33 strain WHCCII11871 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",7201,1923736
KX883971.1,122.5,Hubei diptera virus 1,5699,RF00458,"Hubei diptera virus 1 strain SCM51289 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",5893,1922870
KX884293.1,121.9,Wuhan millipede virus 3,7275,RF00458,"Wuhan millipede virus 3 strain WHWG56524 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",7471,1923742
KX883736.1,113.3,Hubei picorna-like virus 24,5584,RF00458,"Hubei picorna-like virus 24 strain WGML142000 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",5793,1923104
KX883290.1,109.5,Hubei picorna-like virus 15,6822,RF00458,"Hubei picorna-like virus 15 strain arthropodmix13755 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",7013,1923094
MW864599.1,105,Anisopteromalus calandrae positive-strand RNA virus 1,4344,RF00458,"MW864599.1 Anisopteromalus calandrae positive-strand RNA virus 1, complete genome",4540,2848912
KX883654.1,87.4,Shahe picorna-like virus 8,5717,RF00458,"Shahe picorna-like virus 8 strain SHWC12398 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",5927,1923451
KX883372.1,60.4,Beihai picorna-like virus 91,6126,RF00458,"Beihai picorna-like virus 91 strain BHJJX25930 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",6317,1922638
KX884315.1,58.4,Wenling crustacean virus 2,5604,RF00458,"Wenling crustacean virus 2 strain WLJQ102135 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",5785,1923485
KX883663.1,57.6,Shahe picorna-like virus 11,6128,RF00458,"Shahe picorna-like virus 11 strain SHWC13613 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",6306,1923441
KX883979.1,53.9,Wenzhou shrimp virus 5,6097,RF00458,"Wenzhou shrimp virus 5 strain shrimp14323 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",6308,1923652
KX884348.1,53,Wenzhou shrimp virus 6,7089,RF00458,"Wenzhou shrimp virus 6 strain WZRBX43423 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",7293,1923653
KX884554.1,51.3,Changjiang picorna-like virus 11,5201,RF00458,"Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",5348,1922784
KX883338.1,46.1,Beihai picorna-like virus 79,5405,RF00458,"Beihai picorna-like virus 79 strain BHBJDX18844 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",5590,1922626
KX884478.1,46.1,Beihai picorna-like virus 80,5388,RF00458,"Beihai picorna-like virus 80 strain BHZC36213 hypothetical protein 2 genes, complete cds.",5567,1922628
KX883934.1,44.5,Hubei picorna-like virus 14,6306,RF00458,"Hubei picorna-like virus 14 strain QTM26191 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",6467,1923093
