Representative	Member	RFAM	Organism	Location	Length
KX883971.1:5699-5893 Hubei diptera virus 1 IRES_Cripavirus Hubei diptera virus 1 strain SCM51289 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.	KX883971.1:5699-5893 Hubei diptera virus 1 IRES_Cripavirus Hubei diptera virus 1 strain SCM51289 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.		 Hubei diptera virus 1		195
vir_ires_00251.1	vir_ires_00251.1		Aichi virus 1 (AiV-1)		174
vir_ires_00486.1	vir_ires_00486.1		Aichi virus 1 (AiV-1)		408
vir_ires_00091.1	vir_ires_00091.1		Alphapapillomavirus 4		174
vir_ires_00098.1	vir_ires_00098.1		Alphapapillomavirus 7		174
vir_ires_00099.1	vir_ires_00099.1		Alphapapillomavirus 7		174
vir_ires_00278.1	vir_ires_00278.1		Banna virus strain JKT-6423		174
vir_ires_00279.1	vir_ires_00279.1		Banna virus strain JKT-6423		174
vir_ires_00414.1	vir_ires_00414.1		Bundibugyo ebolavirus		174
KX884554.1:5201-5348 Changjiang picorna-like virus 11 IRES_Cripavirus Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.	KX884554.1:5201-5348 Changjiang picorna-like virus 11 IRES_Cripavirus Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.	RF00458	Changjiang picorna-like virus 11		148
vir_ires_00551.1	vir_ires_00551.1		Cryphonectria hypovirus 1		495
vir_ires_00552.1	vir_ires_00552.1		Cryphonectria hypovirus 2-NB58		487
vir_ires_00553.1	vir_ires_00553.1		Cryphonectria hypovirus 3		369
vir_ires_00503.1	vir_ires_00503.1		Enterovirus A71 (EV-A71)		655
DQ279927.1:55269-55485 Epstein-Barr virus (strain AG876) IRES_EBNA Human herpesvirus 4 strain AG876, complete genome.	DQ279927.1:55269-55485 Epstein-Barr virus (strain AG876) IRES_EBNA Human herpesvirus 4 strain AG876, complete genome.	RF00448	Epstein-Barr virus (strain AG876)		217
AF308157.1:595-1057 Foot-and-mouth disease virus - type O  IRES_Picorna_2 Foot-and-mouth disease virus, complete genome.	AF308157.1:595-1057 Foot-and-mouth disease virus - type O  IRES_Picorna_2 Foot-and-mouth disease virus, complete genome.	RF00210	Foot-and-mouth disease virus - type O 		463
vir_ires_00508.1	vir_ires_00508.1		GB virus C (GBV-HGV)		628
vir_ires_00471.1	vir_ires_00471.1		Giardia lamblia virus (GLV)		518
vir_ires_00540.1	vir_ires_00540.1		Helminthosporium victoriae 145S virus		293
vir_ires_00539.1	vir_ires_00539.1		Helminthosporium victoriae virus 190S		289
vir_ires_00248.1	vir_ires_00248.1		Hendra henipavirus (HeV)		174
vir_ires_00249.1	vir_ires_00249.1		Hendra henipavirus (HeV)		174
vir_ires_00250.1	vir_ires_00250.1		Hendra henipavirus (HeV)		174
vir_ires_00530.1	vir_ires_00530.1		Hepacivirus N		297
