query	target	pident	alnlen	bits	evalue	cigar
hsa_ires_00317.1|Homo	hsa_ires_00317.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00349.1|Homo	hsa_ires_00349.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00381.1|Homo	hsa_ires_00381.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00413.1|Homo	hsa_ires_00413.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00445.1|Homo	hsa_ires_00445.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00477.1|Homo	hsa_ires_00477.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00509.1|Homo	hsa_ires_00509.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00541.1|Homo	hsa_ires_00541.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00573.1|Homo	hsa_ires_00573.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00605.1|Homo	hsa_ires_00605.1|Homo	100.000	133	240	3.194E-71	133M
hsa_ires_00605.1|Homo	hsa_ires_00614.1|Homo	100.000	129	233	1.678E-68	129M
hsa_ires_00637.1|Homo	hsa_ires_00637.1|Homo	100.000	249	448	6.983E-137	249M
hsa_ires_00669.1|Homo	hsa_ires_00669.1|Homo	100.000	537	964	8.825E-300	537M
CM000995.3:107125011-107125270	mouse_CM000673.2:30012935-30012676	100.000	260	467	4.168E-143	260M
CM000995.3:107125011-107125270	CM000995.3:107125011-107125270	100.000	260	467	4.168E-143	260M
mmu_ires_00008.1|Mus	mmu_ires_00008.1|Mus	100.000	1021	1831	0.000E+00	1021M
mouse_hsa_ires_00200.1	mouse_hsa_ires_00200.1	100.000	607	1089	0.000E+00	607M
KX883338.1:5405-5590	KX883338.1:5405-5590	100.000	186	335	3.146E-101	186M
vir_ires_00036.1	vir_ires_00036.1	100.000	174	313	1.952E-94	174M
vir_ires_00494.1	vir_ires_00494.1	100.000	212	381	6.053E-116	212M
vir_ires_00494.1	TSV_IGR|Taura	100.000	212	381	6.053E-116	212M
vir_ires_00315.1	vir_ires_00315.1	100.000	174	313	1.952E-94	174M
vir_ires_00257.1	vir_ires_00257.1	100.000	174	313	1.952E-94	174M
vir_ires_00488.1	vir_ires_00488.1	100.000	579	1039	1.482E-323	579M
vir_ires_00488.1	RhPV_5NCR|Rhopalosiphum	100.000	579	1039	1.482E-323	579M
vir_ires_00488.1	RhPV_5NCR|Rhopalosiphum	100.000	579	1039	1.482E-323	579M
vir_ires_00239.1	vir_ires_00239.1	100.000	174	313	1.952E-94	174M
vir_ires_00035.1	vir_ires_00035.1	100.000	174	313	1.952E-94	174M
vir_ires_00384.1	vir_ires_00384.1	100.000	174	313	1.952E-94	174M
vir_ires_00107.1	vir_ires_00107.1	100.000	174	313	1.952E-94	174M
vir_ires_00299.1	vir_ires_00299.1	100.000	174	313	1.952E-94	174M
vir_ires_00389.1	vir_ires_00389.1	100.000	174	313	1.952E-94	174M
vir_ires_00419.1	vir_ires_00419.1	100.000	174	313	1.952E-94	174M
vir_ires_00075.1	vir_ires_00075.1	100.000	174	313	1.952E-94	174M
vir_ires_00309.1	vir_ires_00309.1	100.000	174	313	1.952E-94	174M
vir_ires_00407.1	vir_ires_00407.1	100.000	174	313	1.952E-94	174M
vir_ires_00518.1	vir_ires_00518.1	100.000	742	1331	0.000E+00	742M
vir_ires_00550.1	vir_ires_00550.1	100.000	447	802	6.946E-249	447M
vir_ires_00550.1	vir_ires_00529.1	90.700	443	605	3.560E-178	123M1I76M2D241M
BiP_-222_-3|Homo	BiP_-222_-3|Homo	100.000	222	399	1.326E-121	222M
hsa_ires_00030.1|Homo	hsa_ires_00030.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00062.1|Homo	hsa_ires_00062.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00094.1|Homo	hsa_ires_00094.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00126.1|Homo	hsa_ires_00126.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00158.1|Homo	hsa_ires_00158.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00190.1|Homo	hsa_ires_00190.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00222.1|Homo	hsa_ires_00222.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00254.1|Homo	hsa_ires_00254.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00286.1|Homo	hsa_ires_00286.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00318.1|Homo	hsa_ires_00318.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00350.1|Homo	hsa_ires_00350.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00382.1|Homo	hsa_ires_00382.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00414.1|Homo	hsa_ires_00414.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00446.1|Homo	hsa_ires_00446.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00478.1|Homo	hsa_ires_00478.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00510.1|Homo	hsa_ires_00510.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00542.1|Homo	hsa_ires_00542.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00574.1|Homo	hsa_ires_00574.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00606.1|Homo	hsa_ires_00606.1|Homo	100.000	217	390	8.960E-119	217M
hsa_ires_00606.1|Homo	CM000997.3:122889735-122889956	90.400	210	285	1.069E-80	104M1D105M
hsa_ires_00606.1|Homo	mouse_CM000663.2:39902015-39901795	90.400	210	285	1.069E-80	104M1D105M
hsa_ires_00606.1|Homo	mouse_hsa_ires_00606.1	90.400	210	285	1.069E-80	104M1D105M
hsa_ires_00606.1|Homo	mouse_CM000663.2:38708708-38708962	90.400	210	285	1.069E-80	104M1D105M
hsa_ires_00638.1|Homo	hsa_ires_00638.1|Homo	100.000	223	401	3.604E-122	223M
hsa_ires_00670.1|Homo	hsa_ires_00670.1|Homo	100.000	381	684	1.479E-211	381M
CM001000.3:142214878-142214758	CM001000.3:142214878-142214758	100.000	121	218	1.998E-64	121M
CM001000.3:142214878-142214758	CM000673.2:2141059-2140939	91.600	120	172	3.132E-47	120M
mmu_ires_00010.1|Mus	mmu_ires_00010.1|Mus	100.000	115	208	5.001E-61	115M
mouse_hsa_ires_00052.1	mouse_hsa_ires_00052.1	100.000	149	268	2.781E-80	149M
KX883654.1:5717-5927	KX883654.1:5717-5927	100.000	211	380	2.228E-115	211M
vir_ires_00025.1	vir_ires_00025.1	100.000	174	313	1.952E-94	174M
vir_ires_00392.1	vir_ires_00392.1	100.000	174	313	1.952E-94	174M
vir_ires_00276.1	vir_ires_00276.1	100.000	174	313	1.952E-94	174M
vir_ires_00187.1	vir_ires_00187.1	100.000	174	313	1.952E-94	174M
vir_ires_00397.1	vir_ires_00397.1	100.000	174	313	1.952E-94	174M
vir_ires_00398.1	vir_ires_00398.1	100.000	174	313	1.952E-94	174M
vir_ires_00333.1	vir_ires_00333.1	100.000	174	313	1.952E-94	174M
vir_ires_00289.1	vir_ires_00289.1	100.000	174	313	1.952E-94	174M
vir_ires_00182.1	vir_ires_00182.1	100.000	174	313	1.952E-94	174M
vir_ires_00182.1	vir_ires_00063.1	97.100	174	287	1.080E-84	120M1I53M
vir_ires_00250.1	vir_ires_00250.1	100.000	174	313	1.952E-94	174M
vir_ires_00175.1	vir_ires_00175.1	100.000	174	313	1.952E-94	174M
vir_ires_00004.1	vir_ires_00004.1	100.000	174	313	1.952E-94	174M
vir_ires_00259.1	vir_ires_00259.1	100.000	174	313	1.952E-94	174M
vir_ires_00282.1	vir_ires_00282.1	100.000	174	313	1.952E-94	174M
vir_ires_00368.1	vir_ires_00368.1	100.000	174	313	1.952E-94	174M
vir_ires_00519.1	vir_ires_00519.1	100.000	574	1030	1.055E-320	574M
vir_ires_00519.1	EMCV-R|Encephalomyocarditis	95.800	574	939	7.401E-287	0M23I551M
vir_ires_00551.1	vir_ires_00551.1	100.000	495	888	4.971E-276	495M
XIAP_5-464|Homo	XIAP_5-464|Homo	100.000	460	826	3.088E-256	460M
XIAP_5-464|Homo	XIAP_5-464|Homo	100.000	460	826	3.088E-256	460M
hsa_ires_00031.1|Homo	hsa_ires_00031.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00063.1|Homo	hsa_ires_00063.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00095.1|Homo	hsa_ires_00095.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00127.1|Homo	hsa_ires_00127.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00159.1|Homo	hsa_ires_00159.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00191.1|Homo	hsa_ires_00191.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00223.1|Homo	hsa_ires_00223.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00255.1|Homo	hsa_ires_00255.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00287.1|Homo	hsa_ires_00287.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00319.1|Homo	hsa_ires_00319.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00351.1|Homo	hsa_ires_00351.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00383.1|Homo	hsa_ires_00383.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00415.1|Homo	hsa_ires_00415.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00447.1|Homo	hsa_ires_00447.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00479.1|Homo	hsa_ires_00479.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00511.1|Homo	hsa_ires_00511.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00543.1|Homo	hsa_ires_00543.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00575.1|Homo	hsa_ires_00575.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00639.1|Homo	hsa_ires_00639.1|Homo	100.000	128	231	2.168E-68	128M
hsa_ires_00671.1|Homo	hsa_ires_00671.1|Homo	100.000	336	603	4.206E-186	336M
mmu_ires_00011.1|Mus	mmu_ires_00011.1|Mus	100.000	174	313	1.952E-94	174M
mouse_hsa_ires_00276.1	mouse_hsa_ires_00276.1	100.000	181	326	2.128E-98	181M
mouse_hsa_ires_00560.1	mouse_hsa_ires_00560.1	100.000	164	295	8.945E-89	164M
mouse_hsa_ires_00031.1	mouse_hsa_ires_00031.1	100.000	138	249	4.708E-74	138M
vir_ires_00376.1	vir_ires_00376.1	100.000	174	313	1.952E-94	174M
vir_ires_00311.1	vir_ires_00311.1	100.000	174	313	1.952E-94	174M
vir_ires_00355.1	vir_ires_00355.1	100.000	174	313	1.952E-94	174M
vir_ires_00434.1	vir_ires_00434.1	100.000	174	313	1.952E-94	174M
vir_ires_00306.1	vir_ires_00306.1	100.000	174	313	1.952E-94	174M
vir_ires_00041.1	vir_ires_00041.1	100.000	174	313	1.952E-94	174M
vir_ires_00473.1	vir_ires_00473.1	100.000	353	634	1.018E-195	353M
vir_ires_00321.1	vir_ires_00321.1	100.000	174	313	1.952E-94	174M
vir_ires_00248.1	vir_ires_00248.1	100.000	174	313	1.952E-94	174M
vir_ires_00082.1	vir_ires_00082.1	100.000	174	313	1.952E-94	174M
vir_ires_00097.1	vir_ires_00097.1	100.000	174	313	1.952E-94	174M
vir_ires_00097.1	vir_ires_00038.1	91.900	173	249	8.932E-71	173M
vir_ires_00090.1	vir_ires_00090.1	100.000	174	313	1.952E-94	174M
vir_ires_00416.1	vir_ires_00416.1	100.000	174	313	1.952E-94	174M
vir_ires_00265.1	vir_ires_00265.1	100.000	174	313	1.952E-94	174M
vir_ires_00493.1	vir_ires_00493.1	100.000	245	440	1.281E-134	245M
vir_ires_00520.1	vir_ires_00520.1	100.000	721	1293	0.000E+00	721M
vir_ires_00552.1	vir_ires_00552.1	100.000	487	872	7.841E-271	487M
CM000666.2:122826680-122827177	CM000666.2:122826680-122827177	100.000	498	894	9.998E-278	498M
c-IAP1_285-1399|Homo	c-IAP1_285-1399|Homo	100.000	1115	1999	0.000E+00	1115M
c-IAP1_285-1399|Homo	c-IAP1_285-1399|Homo	100.000	1115	1999	0.000E+00	1115M
hsa_ires_00000.1|Homo	hsa_ires_00000.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00032.1|Homo	hsa_ires_00032.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00064.1|Homo	hsa_ires_00064.1|Homo	100.000	174	313	1.952E-94	174M
