accession,bits_score,start,end,description,species,tax_id
CM022834.1,156.9,89631706,89631826,"CM022834.1 Ailuropoda melanoleuca isolate Jingjing chromosome 16, whole genome shotgun sequence",Ailuropoda melanoleuca (giant panda),9646
KL201848.1,156.9,1166349,1166469,"KL201848.1 Nannospalax galili isolate Female #2095 unplaced genomic scaffold scaffold1639, whole genome shotgun sequence",Nannospalax galili (Upper Galilee mountains blind mole rat),1026970
LZNR01000351.1,156.9,29848,29968,"LZNR01000351.1 Ursus americanus isolate MABB319796 Contig351, whole genome shotgun sequence",Ursus americanus (American black bear),9643
NC_058413.1,156.9,1738389,1738269,"NC_058413.1 Neomonachus schauinslandi chromosome 11, ASM220157v2, whole genome shotgun sequence",Monachus schauinslandi (Hawaiian monk seal),29088
NW_004450460.1,156.9,1671244,1671124,"NW_004450460.1 Odobenus rosmarus divergens isolate Ivan unplaced genomic scaffold, Oros_1.0 Scaffold197, whole genome shotgun sequence",Odobenus rosmarus divergens (Pacific walrus),9708
NW_006386681.1,156.9,103198,103078,"NW_006386681.1 Leptonychotes weddellii isolate WS11-02 unplaced genomic scaffold, LepWed1.0 scaffold03641, whole genome shotgun sequence",Leptonychotes weddellii (Weddell seal),9713
NW_017870925.1,156.9,684364,684244,"NW_017870925.1 Castor canadensis isolate Ward unplaced genomic scaffold, C.can genome v1.0 scaffold_1598, whole genome shotgun sequence",Castor canadensis (American beaver),51338
NW_020312886.1,156.9,406508,406388,"NW_020312886.1 Callorhinus ursinus isolate GAN/ISIS: 27379988/994484 unplaced genomic scaffold, ASM326570v1 scaffold144, whole genome shotgun sequence",Callorhinus ursinus (northern fur seal),34884
NW_024424786.1,156.9,45704290,45704410,"NW_024424786.1 Ursus maritimus isolate PB19 unplaced genomic scaffold, ASM1731132v1 scaffold_23, whole genome shotgun sequence",Ursus maritimus (polar bear),29073
KB320452.1,156.2,6620608,6620488,"KB320452.1 Tupaia chinensis unplaced genomic scaffold Scaffold000047_1, whole genome shotgun sequence",Tupaia chinensis (Chinese tree shrew),246437
CAAGRJ010031405.1,156,66535,66655,"CAAGRJ010031405.1 Lynx pardinus genome assembly, contig: lp23s21123, whole genome shotgun sequence",Lynx pardinus (Spanish lynx),191816
CM001387.3,156,115960950,115961070,"Felis catus isolate Cinnamon breed Abyssinian chromosome D1, whole genome shotgun sequence.",Felis catus (domestic cat),9685
GL873653.1,156,5103176,5103296,"Otolemur garnettii unplaced genomic scaffold scaffold00134, whole genome shotgun sequence.",Otolemur garnettii (small-eared galago),30611
NW_020338592.1,156,9618441,9618561,"NW_020338592.1 Puma concolor isolate SC36_Marlon unplaced genomic scaffold, PumCon1.0 scaffold_1605, whole genome shotgun sequence",Puma concolor (puma),9696
NW_020834796.1,156,375247,375127,"NW_020834796.1 Acinonyx jubatus isolate Rico unplaced genomic scaffold, Aci_jub_2 Primary Assembly Aci_jub_2_ph1_scaffold86, whole genome shotgun sequence",Acinonyx jubatus (cheetah),32536
CM016981.1,154.7,1458084,1457964,"CM016981.1 Suricata suricatta isolate VVHF042 chromosome 11, whole genome shotgun sequence",Suricata suricatta (meerkat),37032
NW_019154106.1,154.5,1612408,1612288,"NW_019154106.1 Enhydra lutris kenyoni isolate GAN:26980312 unplaced genomic scaffold, ASM228890v2 scaffoldscaffold22, whole genome shotgun sequence",Enhydra lutris kenyoni,391180
KE722000.1,154.1,414898,414778,"KE722000.1 Panthera tigris altaica isolate TaeGuk unplaced genomic scaffold scaffold373, whole genome shotgun sequence",Panthera tigris altaica (Amur tiger),74533
VOCV01000149.1,154.1,393676,393556,"VOCV01000149.1 Panthera leo isolate Brooke ScFovFW_149, whole genome shotgun sequence",Panthera leo (lion),9689
CM008009.1,153.2,1375151,1375031,"CM008009.1 Cervus elaphus hippelaphus isolate Hungarian chromosome 2, whole genome shotgun sequence",Cervus elaphus hippelaphus,46360
CM018163.1,153.2,108848581,108848701,"CM018163.1 Phocoena sinus isolate mPhoSin1 chromosome 8, whole genome shotgun sequence",Phocoena sinus (vaquita),42100
CM021193.1,153.2,44778503,44778623,"CM021193.1 Cervus hanglu yarkandensis isolate CEY-2017 chromosome 2, whole genome shotgun sequence",Cervus elaphus yarkandensis,84702
JWIN03000075.1,153.2,6684859,6684979,"JWIN03000075.1 Camelus dromedarius breed African isolate Drom800 Contig74, whole genome shotgun sequence",Camelus dromedarius (Arabian camel),9838
KB017292.1,153.2,2798,2918,"Camelus ferus unplaced genomic scaffold scaffold1062, whole genome shotgun sequence.",Camelus ferus (Wild Bactrian camel),419612
NC_045792.1,153.2,108715845,108715965,"NC_045792.1 Balaenoptera musculus isolate JJ_BM4_2016_0621 chromosome 8, mBalMus1.pri.v3, whole genome shotgun sequence",Balaenoptera musculus (Blue whale),9771
NC_047041.1,153.2,106877759,106877879,"NC_047041.1 Tursiops truncatus isolate mTurTru1 chromosome 8, mTurTru1.mat.Y, whole genome shotgun sequence",Tursiops truncatus (bottlenosed dolphin),9739
NW_011514130.1,153.2,16917790,16917910,"NW_011514130.1 Camelus bactrianus breed Alxa unplaced genomic scaffold, Ca_bactrianus_MBC_1.0 scaffold38, whole genome shotgun sequence",Camelus bactrianus (Bactrian camel),9837
NW_020173674.1,153.2,1522003,1521883,"NW_020173674.1 Neophocaena asiaeorientalis asiaeorientalis breed wild unplaced genomic scaffold, Neophocaena_asiaeorientalis_V1 scaffold43, whole genome shotgun sequence",Neophocaena asiaeorientalis asiaeorientalis (yangtze finless porpoise),1706337
QWLN02020461.1,153.2,8889926,8890046,"QWLN02020461.1 Sousa chinensis isolate MY-2018 scaffold69.1, whole genome shotgun sequence",Sousa chinensis (Indo-pacific humpbacked dolphin),103600
